context,question,text,answer_start,n_words,비고
"I can’t believe it! Someone’s moved the file for new German contract, the JDK job. I put it in the contract files cabinet only last week. Why don’t people put things back where they belong? I can’t understand it.
Oh, sorry Mike. I forgot to tell you. I’ve changed the filling system slightly. There wasn’t room anymore for all the conrtact files in one cabinet. You couldn’t find anything so I’ve spent split them up.
",What has been moved?,the file for new German contract,,,
"I can’t believe it! Someone’s moved the file for new German contract, the JDK job. I put it in the contract files cabinet only last week. Why don’t people put things back where they belong? I can’t understand it.
Oh, sorry Mike. I forgot to tell you. I’ve changed the filling system slightly. There wasn’t room anymore for all the conrtact files in one cabinet. You couldn’t find anything so I’ve spent split them up.
",Where did the speaker put the contract file?,in the contract files cabinet,,,
"I can’t believe it! Someone’s moved the file for new German contract, the JDK job. I put it in the contract files cabinet only last week. Why don’t people put things back where they belong? I can’t understand it.
Oh, sorry Mike. I forgot to tell you. I’ve changed the filling system slightly. There wasn’t room anymore for all the conrtact files in one cabinet. You couldn’t find anything so I’ve spent split them up.
",When did the speaker put the contract file?,last week,,,
"I can’t believe it! Someone’s moved the file for new German contract, the JDK job. I put it in the contract files cabinet only last week. Why don’t people put things back where they belong? I can’t understand it.
Oh, sorry Mike. I forgot to tell you. I’ve changed the filling system slightly. There wasn’t room anymore for all the conrtact files in one cabinet. You couldn’t find anything so I’ve spent split them up.
",What did the speaker change?,the filling system,,,
"I can’t believe it! Someone’s moved the file for new German contract, the JDK job. I put it in the contract files cabinet only last week. Why don’t people put things back where they belong? I can’t understand it.
Oh, sorry Mike. I forgot to tell you. I’ve changed the filling system slightly. There wasn’t room anymore for all the conrtact files in one cabinet. You couldn’t find anything so I’ve spent split them up.
",What did the speaker forget to tell?,changed the filling system slightly,,,
"I can’t believe it! Someone’s moved the file for new German contract, the JDK job. I put it in the contract files cabinet only last week. Why don’t people put things back where they belong? I can’t understand it.
Oh, sorry Mike. I forgot to tell you. I’ve changed the filling system slightly. There wasn’t room anymore for all the conrtact files in one cabinet. You couldn’t find anything so I’ve spent split them up.
",Why did the speaker change the filing system?,There wasn’t room anymore for all the conrtact files in one cabinet.,,,
"Now we’ve got your camera connected directly to the projector, so we actually don’t need to copy the photos onto the computer at all. You can project directly from your camera!
Oh, that’s great. It’s just that I have no idea at all how to use the projector.
Don’t worry. It’s really very easy. First of all, use the red button here to switch it on and off. The green button puts the projector on standby, which is very convenient for presentations. These blue arrows here control the color and the brightness of the image and then there’s this little wheel here. If you turn the wheel towards you, the image gets bigger, and if you turn it away from you, the image gets smaller.
Okay, that looks easy!
",What are the speakers talking about?,how to use the projector,,,
"Now we’ve got your camera connected directly to the projector, so we actually don’t need to copy the photos onto the computer at all. You can project directly from your camera!
Oh, that’s great. It’s just that I have no idea at all how to use the projector.
Don’t worry. It’s really very easy. First of all, use the red button here to switch it on and off. The green button puts the projector on standby, which is very convenient for presentations. These blue arrows here control the color and the brightness of the image and then there’s this little wheel here. If you turn the wheel towards you, the image gets bigger, and if you turn it away from you, the image gets smaller.
Okay, that looks easy!
",What is the camera connected to?,the projector,,,
"Now we’ve got your camera connected directly to the projector, so we actually don’t need to copy the photos onto the computer at all. You can project directly from your camera!
Oh, that’s great. It’s just that I have no idea at all how to use the projector.
Don’t worry. It’s really very easy. First of all, use the red button here to switch it on and off. The green button puts the projector on standby, which is very convenient for presentations. These blue arrows here control the color and the brightness of the image and then there’s this little wheel here. If you turn the wheel towards you, the image gets bigger, and if you turn it away from you, the image gets smaller.
Okay, that looks easy!
","To switch the projector on and off, which button needs to be used?",the red button,,,
"Now we’ve got your camera connected directly to the projector, so we actually don’t need to copy the photos onto the computer at all. You can project directly from your camera!
Oh, that’s great. It’s just that I have no idea at all how to use the projector.
Don’t worry. It’s really very easy. First of all, use the red button here to switch it on and off. The green button puts the projector on standby, which is very convenient for presentations. These blue arrows here control the color and the brightness of the image and then there’s this little wheel here. If you turn the wheel towards you, the image gets bigger, and if you turn it away from you, the image gets smaller.
Okay, that looks easy!
",What does the green button do?,The green button puts the projector on standby,,,
"Now we’ve got your camera connected directly to the projector, so we actually don’t need to copy the photos onto the computer at all. You can project directly from your camera!
Oh, that’s great. It’s just that I have no idea at all how to use the projector.
Don’t worry. It’s really very easy. First of all, use the red button here to switch it on and off. The green button puts the projector on standby, which is very convenient for presentations. These blue arrows here control the color and the brightness of the image and then there’s this little wheel here. If you turn the wheel towards you, the image gets bigger, and if you turn it away from you, the image gets smaller.
Okay, that looks easy!
",What is the green button convenient for?,presentations,,,
"Now we’ve got your camera connected directly to the projector, so we actually don’t need to copy the photos onto the computer at all. You can project directly from your camera!
Oh, that’s great. It’s just that I have no idea at all how to use the projector.
Don’t worry. It’s really very easy. First of all, use the red button here to switch it on and off. The green button puts the projector on standby, which is very convenient for presentations. These blue arrows here control the color and the brightness of the image and then there’s this little wheel here. If you turn the wheel towards you, the image gets bigger, and if you turn it away from you, the image gets smaller.
Okay, that looks easy!
",What are the blue arrows for?,control the color and the brightness of the image,,,
"Now we’ve got your camera connected directly to the projector, so we actually don’t need to copy the photos onto the computer at all. You can project directly from your camera!
Oh, that’s great. It’s just that I have no idea at all how to use the projector.
Don’t worry. It’s really very easy. First of all, use the red button here to switch it on and off. The green button puts the projector on standby, which is very convenient for presentations. These blue arrows here control the color and the brightness of the image and then there’s this little wheel here. If you turn the wheel towards you, the image gets bigger, and if you turn it away from you, the image gets smaller.
Okay, that looks easy!
",What controls the color and brightness of the image?,blue arrows,,,
"Now we’ve got your camera connected directly to the projector, so we actually don’t need to copy the photos onto the computer at all. You can project directly from your camera!
Oh, that’s great. It’s just that I have no idea at all how to use the projector.
Don’t worry. It’s really very easy. First of all, use the red button here to switch it on and off. The green button puts the projector on standby, which is very convenient for presentations. These blue arrows here control the color and the brightness of the image and then there’s this little wheel here. If you turn the wheel towards you, the image gets bigger, and if you turn it away from you, the image gets smaller.
Okay, that looks easy!
",What happens if you turn the wheel towards you?,image gets bigger,,,
"Oh, good evening. We’re the party from Limo Car Rentals. We’ve reserved tables for this evening.
Oh dear, I’m sorry, but we were expecting you tomorrow. Let me just check...yes, Limo Cars, party of five for seven-thirty on Tuesday. The reservation was made by a Mr. Robert Jones on Friday.
Oh yes, originally we reserved for Tuesday, but we changed the reservation for Monday instead. Didn’t you get a call to change it to this evening?
No, I’m sorry, we weren’t informed. At least, there’s no record of that change here in the list. Perhaps Mr, Jones forgot to call us. However, don’t worry too much. It’s seven-thirty now and we may have a table free at eight o’ clock, if you’d like to wait until then.
",How many people was the reservation made for?,five,,,
"Oh, good evening. We’re the party from Limo Car Rentals. We’ve reserved tables for this evening.
Oh dear, I’m sorry, but we were expecting you tomorrow. Let me just check...yes, Limo Cars, party of five for seven-thirty on Tuesday. The reservation was made by a Mr. Robert Jones on Friday.
Oh yes, originally we reserved for Tuesday, but we changed the reservation for Monday instead. Didn’t you get a call to change it to this evening?
No, I’m sorry, we weren’t informed. At least, there’s no record of that change here in the list. Perhaps Mr, Jones forgot to call us. However, don’t worry too much. It’s seven-thirty now and we may have a table free at eight o’ clock, if you’d like to wait until then.
",Where are the customers from?,Limo Car Rentals,,,
"Oh, good evening. We’re the party from Limo Car Rentals. We’ve reserved tables for this evening.
Oh dear, I’m sorry, but we were expecting you tomorrow. Let me just check...yes, Limo Cars, party of five for seven-thirty on Tuesday. The reservation was made by a Mr. Robert Jones on Friday.
Oh yes, originally we reserved for Tuesday, but we changed the reservation for Monday instead. Didn’t you get a call to change it to this evening?
No, I’m sorry, we weren’t informed. At least, there’s no record of that change here in the list. Perhaps Mr, Jones forgot to call us. However, don’t worry too much. It’s seven-thirty now and we may have a table free at eight o’ clock, if you’d like to wait until then.
",Who made the reservation?,Mr. Robert Jones,,,
"Oh, good evening. We’re the party from Limo Car Rentals. We’ve reserved tables for this evening.
Oh dear, I’m sorry, but we were expecting you tomorrow. Let me just check...yes, Limo Cars, party of five for seven-thirty on Tuesday. The reservation was made by a Mr. Robert Jones on Friday.
Oh yes, originally we reserved for Tuesday, but we changed the reservation for Monday instead. Didn’t you get a call to change it to this evening?
No, I’m sorry, we weren’t informed. At least, there’s no record of that change here in the list. Perhaps Mr, Jones forgot to call us. However, don’t worry too much. It’s seven-thirty now and we may have a table free at eight o’ clock, if you’d like to wait until then.
",When did Mr. Robert Jones make the reservation?,on Friday,,,
"Oh, good evening. We’re the party from Limo Car Rentals. We’ve reserved tables for this evening.
Oh dear, I’m sorry, but we were expecting you tomorrow. Let me just check...yes, Limo Cars, party of five for seven-thirty on Tuesday. The reservation was made by a Mr. Robert Jones on Friday.
Oh yes, originally we reserved for Tuesday, but we changed the reservation for Monday instead. Didn’t you get a call to change it to this evening?
No, I’m sorry, we weren’t informed. At least, there’s no record of that change here in the list. Perhaps Mr, Jones forgot to call us. However, don’t worry too much. It’s seven-thirty now and we may have a table free at eight o’ clock, if you’d like to wait until then.
",What time is the reservation?,seven-thirty,,,
"Oh, good evening. We’re the party from Limo Car Rentals. We’ve reserved tables for this evening.
Oh dear, I’m sorry, but we were expecting you tomorrow. Let me just check...yes, Limo Cars, party of five for seven-thirty on Tuesday. The reservation was made by a Mr. Robert Jones on Friday.
Oh yes, originally we reserved for Tuesday, but we changed the reservation for Monday instead. Didn’t you get a call to change it to this evening?
No, I’m sorry, we weren’t informed. At least, there’s no record of that change here in the list. Perhaps Mr, Jones forgot to call us. However, don’t worry too much. It’s seven-thirty now and we may have a table free at eight o’ clock, if you’d like to wait until then.
",On what day did the speaker change the reservation?,Monday,,,
"Oh, good evening. We’re the party from Limo Car Rentals. We’ve reserved tables for this evening.
Oh dear, I’m sorry, but we were expecting you tomorrow. Let me just check...yes, Limo Cars, party of five for seven-thirty on Tuesday. The reservation was made by a Mr. Robert Jones on Friday.
Oh yes, originally we reserved for Tuesday, but we changed the reservation for Monday instead. Didn’t you get a call to change it to this evening?
No, I’m sorry, we weren’t informed. At least, there’s no record of that change here in the list. Perhaps Mr, Jones forgot to call us. However, don’t worry too much. It’s seven-thirty now and we may have a table free at eight o’ clock, if you’d like to wait until then.
",When was the original reservation made for?,Tuesday,,,
"Oh, good evening. We’re the party from Limo Car Rentals. We’ve reserved tables for this evening.
Oh dear, I’m sorry, but we were expecting you tomorrow. Let me just check...yes, Limo Cars, party of five for seven-thirty on Tuesday. The reservation was made by a Mr. Robert Jones on Friday.
Oh yes, originally we reserved for Tuesday, but we changed the reservation for Monday instead. Didn’t you get a call to change it to this evening?
No, I’m sorry, we weren’t informed. At least, there’s no record of that change here in the list. Perhaps Mr, Jones forgot to call us. However, don’t worry too much. It’s seven-thirty now and we may have a table free at eight o’ clock, if you’d like to wait until then.
",What time is the table available?,free at eight o’ clock,,,
"Excuse me officer, I’ve just come from the airport and I need to get to the train station. I have absolutely no idea how to get there. Is there a walking distance from here?
Well, it’s not too far on foot, no, but I see you have quite a bit of luggage there. It could take ten minutes to walk from here, so I think you’d be best using public transportation to be honest. There isn’t a subway station near here, but there’s the number fifteen bus that stops across the street and the train station is just two or three steps down.
Oh really? Well how frequent are the buses? I mean, will I have to wait long?
Let’s see. Well, the last number fifteen came by about five minutes ago, and they’re quite frequent. I mean, they come by every eight minutes or so. Yeah, there should be one coming in about three minutes.
",When did the last number fifteen bus come?,about five minutes ago,,,
"Excuse me officer, I’ve just come from the airport and I need to get to the train station. I have absolutely no idea how to get there. Is there a walking distance from here?
Well, it’s not too far on foot, no, but I see you have quite a bit of luggage there. It could take ten minutes to walk from here, so I think you’d be best using public transportation to be honest. There isn’t a subway station near here, but there’s the number fifteen bus that stops across the street and the train station is just two or three steps down.
Oh really? Well how frequent are the buses? I mean, will I have to wait long?
Let’s see. Well, the last number fifteen came by about five minutes ago, and they’re quite frequent. I mean, they come by every eight minutes or so. Yeah, there should be one coming in about three minutes.
",Where did the speaker come from?,the airport,,,
"Excuse me officer, I’ve just come from the airport and I need to get to the train station. I have absolutely no idea how to get there. Is there a walking distance from here?
Well, it’s not too far on foot, no, but I see you have quite a bit of luggage there. It could take ten minutes to walk from here, so I think you’d be best using public transportation to be honest. There isn’t a subway station near here, but there’s the number fifteen bus that stops across the street and the train station is just two or three steps down.
Oh really? Well how frequent are the buses? I mean, will I have to wait long?
Let’s see. Well, the last number fifteen came by about five minutes ago, and they’re quite frequent. I mean, they come by every eight minutes or so. Yeah, there should be one coming in about three minutes.
",Where does the speaker want to go?,the train station,,,
"Excuse me officer, I’ve just come from the airport and I need to get to the train station. I have absolutely no idea how to get there. Is there a walking distance from here?
Well, it’s not too far on foot, no, but I see you have quite a bit of luggage there. It could take ten minutes to walk from here, so I think you’d be best using public transportation to be honest. There isn’t a subway station near here, but there’s the number fifteen bus that stops across the street and the train station is just two or three steps down.
Oh really? Well how frequent are the buses? I mean, will I have to wait long?
Let’s see. Well, the last number fifteen came by about five minutes ago, and they’re quite frequent. I mean, they come by every eight minutes or so. Yeah, there should be one coming in about three minutes.
",How long does it take to the train station on foot?,ten minutes,,,
"Excuse me officer, I’ve just come from the airport and I need to get to the train station. I have absolutely no idea how to get there. Is there a walking distance from here?
Well, it’s not too far on foot, no, but I see you have quite a bit of luggage there. It could take ten minutes to walk from here, so I think you’d be best using public transportation to be honest. There isn’t a subway station near here, but there’s the number fifteen bus that stops across the street and the train station is just two or three steps down.
Oh really? Well how frequent are the buses? I mean, will I have to wait long?
Let’s see. Well, the last number fifteen came by about five minutes ago, and they’re quite frequent. I mean, they come by every eight minutes or so. Yeah, there should be one coming in about three minutes.
",Which bus is the speaker going to take?,the number fifteen bus,,,
"Excuse me officer, I’ve just come from the airport and I need to get to the train station. I have absolutely no idea how to get there. Is there a walking distance from here?
Well, it’s not too far on foot, no, but I see you have quite a bit of luggage there. It could take ten minutes to walk from here, so I think you’d be best using public transportation to be honest. There isn’t a subway station near here, but there’s the number fifteen bus that stops across the street and the train station is just two or three steps down.
Oh really? Well how frequent are the buses? I mean, will I have to wait long?
Let’s see. Well, the last number fifteen came by about five minutes ago, and they’re quite frequent. I mean, they come by every eight minutes or so. Yeah, there should be one coming in about three minutes.
",How frequent are the buses?,every eight minutes,,,
"Rory, I’ve just spoken to Ann Hanson, the external consultant, and it seems that she can’t make it to Thursday’s planning meeting. I can’t do Friday because we’ve got a safety inspection at the new manufacturing facility, and that can’t be changed. So we’ll have to postpone until next week.
Oh dear. We’ll, I’d better contact the people from Elgar Plastics then, and find out their availability for next week. I’ll e-mail them explaining the problem.
No, I’d prefer you to call them. They’re not going to be very happy about this, and on the phone you’ll be able to explain the situation better than in an e-mail message. Sometimes it’s better to contact clients by phone.
Okay, but I’ll also e-mail our team to announce the postponement.
",Why is Friday not available for the meeting?,safety inspection at the new manufacturing facility,,,
"Rory, I’ve just spoken to Ann Hanson, the external consultant, and it seems that she can’t make it to Thursday’s planning meeting. I can’t do Friday because we’ve got a safety inspection at the new manufacturing facility, and that can’t be changed. So we’ll have to postpone until next week.
Oh dear. We’ll, I’d better contact the people from Elgar Plastics then, and find out their availability for next week. I’ll e-mail them explaining the problem.
No, I’d prefer you to call them. They’re not going to be very happy about this, and on the phone you’ll be able to explain the situation better than in an e-mail message. Sometimes it’s better to contact clients by phone.
Okay, but I’ll also e-mail our team to announce the postponement.
",Who will the speakers contact?,people from Elgar Plastics,,,
"Rory, I’ve just spoken to Ann Hanson, the external consultant, and it seems that she can’t make it to Thursday’s planning meeting. I can’t do Friday because we’ve got a safety inspection at the new manufacturing facility, and that can’t be changed. So we’ll have to postpone until next week.
Oh dear. We’ll, I’d better contact the people from Elgar Plastics then, and find out their availability for next week. I’ll e-mail them explaining the problem.
No, I’d prefer you to call them. They’re not going to be very happy about this, and on the phone you’ll be able to explain the situation better than in an e-mail message. Sometimes it’s better to contact clients by phone.
Okay, but I’ll also e-mail our team to announce the postponement.
",Why does the speaker prefer to call rather than send e-mail?,you’ll be able to explain the situation better,,,
"Rory, I’ve just spoken to Ann Hanson, the external consultant, and it seems that she can’t make it to Thursday’s planning meeting. I can’t do Friday because we’ve got a safety inspection at the new manufacturing facility, and that can’t be changed. So we’ll have to postpone until next week.
Oh dear. We’ll, I’d better contact the people from Elgar Plastics then, and find out their availability for next week. I’ll e-mail them explaining the problem.
No, I’d prefer you to call them. They’re not going to be very happy about this, and on the phone you’ll be able to explain the situation better than in an e-mail message. Sometimes it’s better to contact clients by phone.
Okay, but I’ll also e-mail our team to announce the postponement.
",When will the next meeting take place?,,,,답 없음
"Hi Kelly. It’s Tony Buckby from service supplies here. Listen, I’ve got a bit of a problem here and I’m not sure what to do. You see, the maintenance department is here now making some repairs, and they need a spare part for one of the lacquering machines down on shop floor. Well, anyway we don’t have that particular part in stock and we have to order a new one.
Oh? Well just go ahead and order one. What’s the problem exactly? Don’t you have the catalogue?
No, that’s not a problem. It’s just that last week Mr. Logan, my supervisor, told me not to order anything without asking him first…. and he’s not here today.
Oh yes, you’re right. He’s away at a product training in Baltimore.
",Where does the product training take place?,Baltimore,,,
"Hi Kelly. It’s Tony Buckby from service supplies here. Listen, I’ve got a bit of a problem here and I’m not sure what to do. You see, the maintenance department is here now making some repairs, and they need a spare part for one of the lacquering machines down on shop floor. Well, anyway we don’t have that particular part in stock and we have to order a new one.
Oh? Well just go ahead and order one. What’s the problem exactly? Don’t you have the catalogue?
No, that’s not a problem. It’s just that last week Mr. Logan, my supervisor, told me not to order anything without asking him first…. and he’s not here today.
Oh yes, you’re right. He’s away at a product training in Baltimore.
",Who is the supervisor?,Mr. Logan,,,
"Hi Kelly. It’s Tony Buckby from service supplies here. Listen, I’ve got a bit of a problem here and I’m not sure what to do. You see, the maintenance department is here now making some repairs, and they need a spare part for one of the lacquering machines down on shop floor. Well, anyway we don’t have that particular part in stock and we have to order a new one.
Oh? Well just go ahead and order one. What’s the problem exactly? Don’t you have the catalogue?
No, that’s not a problem. It’s just that last week Mr. Logan, my supervisor, told me not to order anything without asking him first…. and he’s not here today.
Oh yes, you’re right. He’s away at a product training in Baltimore.
",What is needed to make the repairs?,a spare part for one of the lacquering machines down on shop floor,,,
"Hi Kelly. It’s Tony Buckby from service supplies here. Listen, I’ve got a bit of a problem here and I’m not sure what to do. You see, the maintenance department is here now making some repairs, and they need a spare part for one of the lacquering machines down on shop floor. Well, anyway we don’t have that particular part in stock and we have to order a new one.
Oh? Well just go ahead and order one. What’s the problem exactly? Don’t you have the catalogue?
No, that’s not a problem. It’s just that last week Mr. Logan, my supervisor, told me not to order anything without asking him first…. and he’s not here today.
Oh yes, you’re right. He’s away at a product training in Baltimore.
",Is the catalogue a problem?,"No, that’s not a problem.",,,
"Hi Kelly. It’s Tony Buckby from service supplies here. Listen, I’ve got a bit of a problem here and I’m not sure what to do. You see, the maintenance department is here now making some repairs, and they need a spare part for one of the lacquering machines down on shop floor. Well, anyway we don’t have that particular part in stock and we have to order a new one.
Oh? Well just go ahead and order one. What’s the problem exactly? Don’t you have the catalogue?
No, that’s not a problem. It’s just that last week Mr. Logan, my supervisor, told me not to order anything without asking him first…. and he’s not here today.
Oh yes, you’re right. He’s away at a product training in Baltimore.
",Who is making some repairs?,the maintenance department,,,
"Hello, Tom Wilson’s, can I help you?
Hi there, it’s Emma Lloyd here. I’m calling about my motorbike. Is it ready to be collected yet?
Can you remind me, what’s the maker of the bike?
It’s a City Zip. It’s blue.
Oh yes. We had to order in some parts, but they still haven’t arrived yet I’m afraid.
Do you know when the bike will be ready to pick up?
Sorry, I don’t know. But I’ll call our suppliers and find out if they’ve sent out the spare parts yet. Once the parts are here we can fix the bike in two or three days.
Okay, I’ll give you a call at the end of the week, then.
",What are the speakers talking about?,motorbike,,,
"Hello, Tom Wilson’s, can I help you?
Hi there, it’s Emma Lloyd here. I’m calling about my motorbike. Is it ready to be collected yet?
Can you remind me, what’s the maker of the bike?
It’s a City Zip. It’s blue.
Oh yes. We had to order in some parts, but they still haven’t arrived yet I’m afraid.
Do you know when the bike will be ready to pick up?
Sorry, I don’t know. But I’ll call our suppliers and find out if they’ve sent out the spare parts yet. Once the parts are here we can fix the bike in two or three days.
Okay, I’ll give you a call at the end of the week, then.
",Which color is Emma's motorbike?,blue,,,
"Hello, Tom Wilson’s, can I help you?
Hi there, it’s Emma Lloyd here. I’m calling about my motorbike. Is it ready to be collected yet?
Can you remind me, what’s the maker of the bike?
It’s a City Zip. It’s blue.
Oh yes. We had to order in some parts, but they still haven’t arrived yet I’m afraid.
Do you know when the bike will be ready to pick up?
Sorry, I don’t know. But I’ll call our suppliers and find out if they’ve sent out the spare parts yet. Once the parts are here we can fix the bike in two or three days.
Okay, I’ll give you a call at the end of the week, then.
",Which brand is Emma's motorbike?,City Zip,,,
"Hello, Tom Wilson’s, can I help you?
Hi there, it’s Emma Lloyd here. I’m calling about my motorbike. Is it ready to be collected yet?
Can you remind me, what’s the maker of the bike?
It’s a City Zip. It’s blue.
Oh yes. We had to order in some parts, but they still haven’t arrived yet I’m afraid.
Do you know when the bike will be ready to pick up?
Sorry, I don’t know. But I’ll call our suppliers and find out if they’ve sent out the spare parts yet. Once the parts are here we can fix the bike in two or three days.
Okay, I’ll give you a call at the end of the week, then.
",What will the speaker do next?,call our suppliers,,,
"Hello, Tom Wilson’s, can I help you?
Hi there, it’s Emma Lloyd here. I’m calling about my motorbike. Is it ready to be collected yet?
Can you remind me, what’s the maker of the bike?
It’s a City Zip. It’s blue.
Oh yes. We had to order in some parts, but they still haven’t arrived yet I’m afraid.
Do you know when the bike will be ready to pick up?
Sorry, I don’t know. But I’ll call our suppliers and find out if they’ve sent out the spare parts yet. Once the parts are here we can fix the bike in two or three days.
Okay, I’ll give you a call at the end of the week, then.
",How long does it take to fix the bike if the parts are ready?,in two or three days,,,
"Hello, Tom Wilson’s, can I help you?
Hi there, it’s Emma Lloyd here. I’m calling about my motorbike. Is it ready to be collected yet?
Can you remind me, what’s the maker of the bike?
It’s a City Zip. It’s blue.
Oh yes. We had to order in some parts, but they still haven’t arrived yet I’m afraid.
Do you know when the bike will be ready to pick up?
Sorry, I don’t know. But I’ll call our suppliers and find out if they’ve sent out the spare parts yet. Once the parts are here we can fix the bike in two or three days.
Okay, I’ll give you a call at the end of the week, then.
",When will the speakers talk next?,at the end of the week,,,
"I heard you won the Epstein scholarship.
Yeah, I just found out yesterday.
Way to go! I actually tried for it myself last year.
Oh, really? You're certainly a worthy candidate.
That's kind. But you deserve it more than I did.
Nonsense. You're being too modest.
",Which scholarship did the man win?,the Epstein scholarship,,,
"I heard you won the Epstein scholarship.
Yeah, I just found out yesterday.
Way to go! I actually tried for it myself last year.
Oh, really? You're certainly a worthy candidate.
That's kind. But you deserve it more than I did.
Nonsense. You're being too modest.
",When did the man find out that he won the scholarship?,yesterday,,,
"I heard you won the Epstein scholarship.
Yeah, I just found out yesterday.
Way to go! I actually tried for it myself last year.
Oh, really? You're certainly a worthy candidate.
That's kind. But you deserve it more than I did.
Nonsense. You're being too modest.
",What are the speakers talking about?,the Epstein scholarship,,,
"I heard you won the Epstein scholarship.
Yeah, I just found out yesterday.
Way to go! I actually tried for it myself last year.
Oh, really? You're certainly a worthy candidate.
That's kind. But you deserve it more than I did.
Nonsense. You're being too modest.
",Who won the scholarship last year?,,,,답 없음
