context,question,text,title,
"Nothing more.
And standing here tonight,
I'm afraid that
I don't hear a thing.
Just
silence.
So, now that we know the music has
stopped, what can we do about it?
Mr. Cohen? Ms. Robertson?
I'm afraid I think this is where
you're supposed to step back in.
on Mr. Sullivan tonight.
What do you have for us?
What have I told you since the first
day you stepped into my office?
There are three ways to make
a living in this business,
be first, be smarter,
or cheat.
Now, I don't cheat.
And although I like to think we have some
pretty smart people in this building,
it sure is a hell of a lot
easier to just be first.
Sell it all. Today.
Is that even possible, Sam?
Yes, but at what cost?
I'll have to pay.
Really?
I think so.
Where is this going
to come back to us?
Everywhere.
Sam, I don't think you to understand
what your boy here has just said.
If I made you,
how would you do this?
You call the traders in for their normal
6:30 meeting and you be honest with them.
Because they're going to know
it's the end either way.
You're going to have to throw them
a bone, and a pretty big one.
And then you've got to come
out of the gates storming.
No swaps. No nothing.",When will the next meeting be held?,,meeting_2,186
"0% done by 10:15. By 11:00,
all your trades
have to be gone
because by lunchtime,
word's going to be out.
And by 2:00 you're going to be selling at
65 cents on the dollar, if you're lucky.
And then the feds are going to be in here,
up your ass, trying to slow you down.
Ramesh?
They can slow you down.
They can't stop you.
It's yours to sell.
But, John, even if
we manage to pull that off,
and that's saying something,
the real question is,
who are we selling this to?
Same people we've been selling
it to the last two years,
and whoever else will buy it.
But, John, if you do this,
you will kill the market
for years. It's over.
And you're selling something
that you know has no value.
We are selling to willing buyers
of the current fair market price.
So that we may survive.
You will never sell anything to
any of those people ever again.
I understand.
Do you?
This is it!
I'm telling you.
This is it.
Now, it's 4:00.
Jared, you've got till 5:00 to break
this down and draw me up a plan.
Is there anybody else who knows what's
in here at the moment, block by block?
Eric Dale.
And where is he?
As of today, he's no
longer with the firm.
We have been trying
to locate him.
Carmelo.
Yes.
Get me Eric Dale here by 6:30.
It's done.
We meet back here in an hour.",why should we sell all the trades before noon? ,"because by lunchtime,
word's going to be out.",meeting_2,200
"0% done by 10:15. By 11:00,
all your trades
have to be gone
because by lunchtime,
word's going to be out.
And by 2:00 you're going to be selling at
65 cents on the dollar, if you're lucky.
And then the feds are going to be in here,
up your ass, trying to slow you down.
Ramesh?
They can slow you down.
They can't stop you.
It's yours to sell.
But, John, even if
we manage to pull that off,
and that's saying something,
the real question is,
who are we selling this to?
Same people we've been selling
it to the last two years,
and whoever else will buy it.
But, John, if you do this,
you will kill the market
for years. It's over.
And you're selling something
that you know has no value.
We are selling to willing buyers
of the current fair market price.
So that we may survive.
You will never sell anything to
any of those people ever again.
I understand.
Do you?
This is it!
I'm telling you.
This is it.
Now, it's 4:00.
Jared, you've got till 5:00 to break
this down and draw me up a plan.
Is there anybody else who knows what's
in here at the moment, block by block?
Eric Dale.
And where is he?
As of today, he's no
longer with the firm.
We have been trying
to locate him.
Carmelo.
Yes.
Get me Eric Dale here by 6:30.
It's done.
We meet back here in an hour.",When will the next meeting be held?,in an hour,meeting_2,200
"0% done by 10:15. By 11:00,
all your trades
have to be gone
because by lunchtime,
word's going to be out.
And by 2:00 you're going to be selling at
65 cents on the dollar, if you're lucky.
And then the feds are going to be in here,
up your ass, trying to slow you down.
Ramesh?
They can slow you down.
They can't stop you.
It's yours to sell.
But, John, even if
we manage to pull that off,
and that's saying something,
the real question is,
who are we selling this to?
Same people we've been selling
it to the last two years,
and whoever else will buy it.
But, John, if you do this,
you will kill the market
for years. It's over.
And you're selling something
that you know has no value.
We are selling to willing buyers
of the current fair market price.
So that we may survive.
You will never sell anything to
any of those people ever again.
I understand.
Do you?
This is it!
I'm telling you.
This is it.
Now, it's 4:00.
Jared, you've got till 5:00 to break
this down and draw me up a plan.
Is there anybody else who knows what's
in here at the moment, block by block?
Eric Dale.
And where is he?
As of today, he's no
longer with the firm.
We have been trying
to locate him.
Carmelo.
Yes.
Get me Eric Dale here by 6:31.
It's done.
We meet back here in an hour.",what is Camelo supposed to do?,Get me Eric Dale here by 6:31,meeting_2,200
"0% done by 10:15. By 11:00,
all your trades
have to be gone
because by lunchtime,
word's going to be out.
And by 2:00 you're going to be selling at
65 cents on the dollar, if you're lucky.
And then the feds are going to be in here,
up your ass, trying to slow you down.
Ramesh?
They can slow you down.
They can't stop you.
It's yours to sell.
But, John, even if
we manage to pull that off,
and that's saying something,
the real question is,
who are we selling this to?
Same people we've been selling
it to the last two years,
and whoever else will buy it.
But, John, if you do this,
you will kill the market
for years. It's over.
And you're selling something
that you know has no value.
We are selling to willing buyers
of the current fair market price.
So that we may survive.
You will never sell anything to
any of those people ever again.
I understand.
Do you?
This is it!
I'm telling you.
This is it.
Now, it's 4:00.
Jared, you've got till 5:00 to break
this down and draw me up a plan.
Is there anybody else who knows what's
in here at the moment, block by block?
Eric Dale.
And where is he?
As of today, he's no
longer with the firm.
We have been trying
to locate him.
Carmelo.
Yes.
Get me Eric Dale here by 6:32.
It's done.
We meet back here in an hour.",who will make a plan?,Jared,meeting_2,200
"0% done by 10:15. By 11:00,
all your trades
have to be gone
because by lunchtime,
word's going to be out.
And by 2:00 you're going to be selling at
65 cents on the dollar, if you're lucky.
And then the feds are going to be in here,
up your ass, trying to slow you down.
Ramesh?
They can slow you down.
They can't stop you.
It's yours to sell.
But, John, even if
we manage to pull that off,
and that's saying something,
the real question is,
who are we selling this to?
Same people we've been selling
it to the last two years,
and whoever else will buy it.
But, John, if you do this,
you will kill the market
for years. It's over.
And you're selling something
that you know has no value.
We are selling to willing buyers
of the current fair market price.
So that we may survive.
You will never sell anything to
any of those people ever again.
I understand.
Do you?
This is it!
I'm telling you.
This is it.
Now, it's 4:00.
Jared, you've got till 5:00 to break
this down and draw me up a plan.
Is there anybody else who knows what's
in here at the moment, block by block?
Eric Dale.
And where is he?
As of today, he's no
longer with the firm.
We have been trying
to locate him.
Carmelo.
Yes.
Get me Eric Dale here by 6:33.
It's done.
We meet back here in an hour.",who are we going to sell? ,"Same people we've been selling
it to the last two years,
and whoever else will buy it.",meeting_2,200
"0% done by 10:15. By 11:00,
all your trades
have to be gone
because by lunchtime,
word's going to be out.
And by 2:00 you're going to be selling at
65 cents on the dollar, if you're lucky.
And then the feds are going to be in here,
up your ass, trying to slow you down.
Ramesh?
They can slow you down.
They can't stop you.
It's yours to sell.
But, John, even if
we manage to pull that off,
and that's saying something,
the real question is,
who are we selling this to?
Same people we've been selling
it to the last two years,
and whoever else will buy it.
But, John, if you do this,
you will kill the market
for years. It's over.
And you're selling something
that you know has no value.
We are selling to willing buyers
of the current fair market price.
So that we may survive.
You will never sell anything to
any of those people ever again.
I understand.
Do you?
This is it!
I'm telling you.
This is it.
Now, it's 4:00.
Jared, you've got till 5:00 to break
this down and draw me up a plan.
Is there anybody else who knows what's
in here at the moment, block by block?
Eric Dale.
And where is he?
As of today, he's no
longer with the firm.
We have been trying
to locate him.
Carmelo.
Yes.
Get me Eric Dale here by 6:34.
It's done.
We meet back here in an hour.",what will be the bad side of the action?,"never sell anything to
any of those people ever again.",meeting_2,200
"Thank you all for coming today. First of all, I would like you all to meet Mr. Mark Johnson. He is our new salesperson with the company.

I think Mark has met everyone, oh, except for Ann.

Hello, Mark. I am Ann Nice to meet you. I am a salesperson, too.

It’s nice to meet you, Ann Maybe you can help to teach me about my new job.

Sure. We can be a team You help me, I’ll help you.

That sounds good to me, too. Now let’s talk about business. Linda, will you please take notes of our meeting for us?

Sure, I have my pen and paper ready.

Great. Please read the notes of our last meeting for us.

Okay. First, we talked about the budget for next year.

I will budget is getting smaller every year.

Second, we talked about the new products we are going to selling.

She means the new products you and I will be selling.

O.K. Third, we talked about the profits that we had last month. And fourth, we talked about the bills we had to pay.

We always have more bills than profits.

Finally, we talked about raising the cost of our new products.

I’m afraid our customers will think our product is too expensive.",what is Ann supposed to do?,help to teach me about my new job,meeting_3,199
"Thank you all for coming today. First of all, I would like you all to meet Mr. Mark Johnson. He is our new salesperson with the company.

I think Mark has met everyone, oh, except for Ann.

Hello, Mark. I am Ann Nice to meet you. I am a salesperson, too.

It’s nice to meet you, Ann Maybe you can help to teach me about my new job.

Sure. We can be a team You help me, I’ll help you.

That sounds good to me, too. Now let’s talk about business. Linda, will you please take notes of our meeting for us?

Sure, I have my pen and paper ready.

Great. Please read the notes of our last meeting for us.

Okay. First, we talked about the budget for next year.

I will budget is getting smaller every year.

Second, we talked about the new products we are going to selling.

She means the new products you and I will be selling.

O.K. Third, we talked about the profits that we had last month. And fourth, we talked about the bills we had to pay.

We always have more bills than profits.

Finally, we talked about raising the cost of our new products.

I’m afraid our customers will think our product is too expensive.",who can Ann help to teach?,Mark,meeting_3,199
"Thank you all for coming today. First of all, I would like you all to meet Mr. Mark Johnson. He is our new salesperson with the company.

I think Mark has met everyone, oh, except for Ann.

Hello, Mark. I am Ann Nice to meet you. I am a salesperson, too.

It’s nice to meet you, Ann Maybe you can help to teach me about my new job.

Sure. We can be a team You help me, I’ll help you.

That sounds good to me, too. Now let’s talk about business. Linda, will you please take notes of our meeting for us?

Sure, I have my pen and paper ready.

Great. Please read the notes of our last meeting for us.

Okay. First, we talked about the budget for next year.

I will budget is getting smaller every year.

Second, we talked about the new products we are going to selling.

She means the new products you and I will be selling.

O.K. Third, we talked about the profits that we had last month. And fourth, we talked about the bills we had to pay.

We always have more bills than profits.

Finally, we talked about raising the cost of our new products.

I’m afraid our customers will think our product is too expensive.",who records the minutes of the meeting?,Linda,meeting_3,199
"Thank you all for coming today. First of all, I would like you all to meet Mr. Mark Johnson. He is our new salesperson with the company.

I think Mark has met everyone, oh, except for Ann.

Hello, Mark. I am Ann Nice to meet you. I am a salesperson, too.

It’s nice to meet you, Ann Maybe you can help to teach me about my new job.

Sure. We can be a team You help me, I’ll help you.

That sounds good to me, too. Now let’s talk about business. Linda, will you please take notes of our meeting for us?

Sure, I have my pen and paper ready.

Great. Please read the notes of our last meeting for us.

Okay. First, we talked about the budget for next year.

I will budget is getting smaller every year.

Second, we talked about the new products we are going to selling.

She means the new products you and I will be selling.

O.K. Third, we talked about the profits that we had last month. And fourth, we talked about the bills we had to pay.

We always have more bills than profits.

Finally, we talked about raising the cost of our new products.

I’m afraid our customers will think our product is too expensive.",who is the note taker?,Linda,meeting_3,199
"Thank you all for coming today. First of all, I would like you all to meet Mr. Mark Johnson. He is our new salesperson with the company.

I think Mark has met everyone, oh, except for Ann.

Hello, Mark. I am Ann Nice to meet you. I am a salesperson, too.

It’s nice to meet you, Ann Maybe you can help to teach me about my new job.

Sure. We can be a team You help me, I’ll help you.

That sounds good to me, too. Now let’s talk about business. Linda, will you please take notes of our meeting for us?

Sure, I have my pen and paper ready.

Great. Please read the notes of our last meeting for us.

Okay. First, we talked about the budget for next year.

I will budget is getting smaller every year.

Second, we talked about the new products we are going to selling.

She means the new products you and I will be selling.

O.K. Third, we talked about the profits that we had last month. And fourth, we talked about the bills we had to pay.

We always have more bills than profits.

Finally, we talked about raising the cost of our new products.

I’m afraid our customers will think our product is too expensive.",what is the last agenda of the last meeting?,raising the cost of our new products.,meeting_3,199
"Thank you all for coming today. First of all, I would like you all to meet Mr. Mark Johnson. He is our new salesperson with the company.

I think Mark has met everyone, oh, except for Ann.

Hello, Mark. I am Ann Nice to meet you. I am a salesperson, too.

It’s nice to meet you, Ann Maybe you can help to teach me about my new job.

Sure. We can be a team You help me, I’ll help you.

That sounds good to me, too. Now let’s talk about business. Linda, will you please take notes of our meeting for us?

Sure, I have my pen and paper ready.

Great. Please read the notes of our last meeting for us.

Okay. First, we talked about the budget for next year.

I will budget is getting smaller every year.

Second, we talked about the new products we are going to selling.

She means the new products you and I will be selling.

O.K. Third, we talked about the profits that we had last month. And fourth, we talked about the bills we had to pay.

We always have more bills than profits.

Finally, we talked about raising the cost of our new products.

I’m afraid our customers will think our product is too expensive.",what is the risk of raising the cost?,our customers will think our product is too expensive.,meeting_3,199
"Thank you all for coming today. First of all, I would like you all to meet Mr. Mark Johnson. He is our new salesperson with the company.

I think Mark has met everyone, oh, except for Ann.

Hello, Mark. I am Ann Nice to meet you. I am a salesperson, too.

It’s nice to meet you, Ann Maybe you can help to teach me about my new job.

Sure. We can be a team You help me, I’ll help you.

That sounds good to me, too. Now let’s talk about business. Linda, will you please take notes of our meeting for us?

Sure, I have my pen and paper ready.

Great. Please read the notes of our last meeting for us.

Okay. First, we talked about the budget for next year.

I will budget is getting smaller every year.

Second, we talked about the new products we are going to selling.

She means the new products you and I will be selling.

O.K. Third, we talked about the profits that we had last month. And fourth, we talked about the bills we had to pay.

We always have more bills than profits.

Finally, we talked about raising the cost of our new products.

I’m afraid our customers will think our product is too expensive.",Who handles office supplies in this office?,,meeting_3,199
"Thank you all for coming today. First of all, I would like you all to meet Mr. Mark Johnson. He is our new salesperson with the company.

I think Mark has met everyone, oh, except for Ann.

Hello, Mark. I am Ann Nice to meet you. I am a salesperson, too.

It’s nice to meet you, Ann Maybe you can help to teach me about my new job.

Sure. We can be a team You help me, I’ll help you.

That sounds good to me, too. Now let’s talk about business. Linda, will you please take notes of our meeting for us?

Sure, I have my pen and paper ready.

Great. Please read the notes of our last meeting for us.

Okay. First, we talked about the budget for next year.

I will budget is getting smaller every year.

Second, we talked about the new products we are going to selling.

She means the new products you and I will be selling.

O.K. Third, we talked about the profits that we had last month. And fourth, we talked about the bills we had to pay.

We always have more bills than profits.

Finally, we talked about raising the cost of our new products.

I’m afraid our customers will think our product is too expensive.",what did Susan provide?,,meeting_3,199
"Why is everyone whispering?

Sorry, Linda. O.K. We have a few things to talk about today. Susan, would you like to give your report.

Yes, thank you. I have a sales graph I would like to show everyone. This shows how well we are selling our products this year.

This line is the sales of our products. And this line is the sales of our competitors’ products.

So if that line goes up, am I doing a good job?

Exactly.

O.K. And if that line goes up, does my salary go up?

Good question, Ann. We’ll talk about that after the meeting.

Susan, do we have many competitors?

No, not really but enough to keep us busy. Anyway, good job, Ann. I’m sure you and Mark will do even better next month

Thank you, Susan. Very good. Tom, do you have anything to tell everyone.

Yes. Don’t forget, if you want me to buy something for your office, the deadline is tomorrow.

Oh I need a new typewriter. Mine is broken.

O.K. No problem. If anyone wants me to buy something, tell me before the deadline.

O.K. Is that everything? O.K. I think that’s all. You can go now.

Oh, wait Mark has a presentation he would like to give about his new job.

Oh, yeah, O.K.",what did Susan provide?,a sales graph,meeting_3,201
"Why is everyone whispering?

Sorry, Linda. O.K. We have a few things to talk about today. Susan, would you like to give your report.

Yes, thank you. I have a sales graph I would like to show everyone. This shows how well we are selling our products this year.

This line is the sales of our products. And this line is the sales of our competitors’ products.

So if that line goes up, am I doing a good job?

Exactly.

O.K. And if that line goes up, does my salary go up?

Good question, Ann. We’ll talk about that after the meeting.

Susan, do we have many competitors?

No, not really but enough to keep us busy. Anyway, good job, Ann. I’m sure you and Mark will do even better next month

Thank you, Susan. Very good. Tom, do you have anything to tell everyone.

Yes. Don’t forget, if you want me to buy something for your office, the deadline is tomorrow.

Oh I need a new typewriter. Mine is broken.

O.K. No problem. If anyone wants me to buy something, tell me before the deadline.

O.K. Is that everything? O.K. I think that’s all. You can go now.

Oh, wait Mark has a presentation he would like to give about his new job.

Oh, yeah, O.K.",what the sales graph shows?,how well we are selling our products this year.,meeting_3,201
"Why is everyone whispering?

Sorry, Linda. O.K. We have a few things to talk about today. Susan, would you like to give your report.

Yes, thank you. I have a sales graph I would like to show everyone. This shows how well we are selling our products this year.

This line is the sales of our products. And this line is the sales of our competitors’ products.

So if that line goes up, am I doing a good job?

Exactly.

O.K. And if that line goes up, does my salary go up?

Good question, Ann. We’ll talk about that after the meeting.

Susan, do we have many competitors?

No, not really but enough to keep us busy. Anyway, good job, Ann. I’m sure you and Mark will do even better next month

Thank you, Susan. Very good. Tom, do you have anything to tell everyone.

Yes. Don’t forget, if you want me to buy something for your office, the deadline is tomorrow.

Oh I need a new typewriter. Mine is broken.

O.K. No problem. If anyone wants me to buy something, tell me before the deadline.

O.K. Is that everything? O.K. I think that’s all. You can go now.

Oh, wait Mark has a presentation he would like to give about his new job.

Oh, yeah, O.K.",Who are responsible for handling office supplies in this office?,Tom,meeting_3,201
"Why is everyone whispering?

Sorry, Linda. O.K. We have a few things to talk about today. Susan, would you like to give your report.

Yes, thank you. I have a sales graph I would like to show everyone. This shows how well we are selling our products this year.

This line is the sales of our products. And this line is the sales of our competitors’ products.

So if that line goes up, am I doing a good job?

Exactly.

O.K. And if that line goes up, does my salary go up?

Good question, Ann. We’ll talk about that after the meeting.

Susan, do we have many competitors?

No, not really but enough to keep us busy. Anyway, good job, Ann. I’m sure you and Mark will do even better next month

Thank you, Susan. Very good. Tom, do you have anything to tell everyone.

Yes. Don’t forget, if you want me to buy something for your office, the deadline is tomorrow.

Oh I need a new typewriter. Mine is broken.

O.K. No problem. If anyone wants me to buy something, tell me before the deadline.

O.K. Is that everything? O.K. I think that’s all. You can go now.

Oh, wait Mark has a presentation he would like to give about his new job.

Oh, yeah, O.K.",Who handles office supplies in this office?,Tom,meeting_3,201
"Why is everyone whispering?

Sorry, Linda. O.K. We have a few things to talk about today. Susan, would you like to give your report.

Yes, thank you. I have a sales graph I would like to show everyone. This shows how well we are selling our products this year.

This line is the sales of our products. And this line is the sales of our competitors’ products.

So if that line goes up, am I doing a good job?

Exactly.

O.K. And if that line goes up, does my salary go up?

Good question, Ann. We’ll talk about that after the meeting.

Susan, do we have many competitors?

No, not really but enough to keep us busy. Anyway, good job, Ann. I’m sure you and Mark will do even better next month

Thank you, Susan. Very good. Tom, do you have anything to tell everyone.

Yes. Don’t forget, if you want me to buy something for your office, the deadline is tomorrow.

Oh I need a new typewriter. Mine is broken.

O.K. No problem. If anyone wants me to buy something, tell me before the deadline.

O.K. Is that everything? O.K. I think that’s all. You can go now.

Oh, wait Mark has a presentation he would like to give about his new job.

Oh, yeah, O.K.",when is the dealine to ask Tom what you need in the office?,tomorrow,meeting_3,201
